trial_id,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,total_compromised,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,portfolio_cost
1000000,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,12,43,283,flat,0.25,0.2791,3,0.7,connected,0,0,2,0.04651162791,2,1,1,3,0,0,0,8,0,3,0,0,0,2,11,2.125,0.01302083333,0,24,20,1,1,0,1,20,
1000001,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,internet_facing,50,52,345,flat,0.25,0.1731,3,0.7,connected,0,0,31,0.5961538462,31,10,31,18,1,1,50,57,52,70,101,45,61,7,436,77.225,0.2931985294,1,56,73,1,1,12,0,140,
1000002,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,vendor_connection,51,52,330,flat,0.25,0.2692,3,0.7,connected,0,0,40,0.7692307692,40,10,42,27,1,1,73,67,75,78,118,67,52,7,530,96.85,0.3809742647,1,40,134,1,1,11,0,182,
1000003,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,12,44,300,flat,0.25,0.2727,3,0.7,connected,0,0,2,0.04545454545,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,
1000004,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,internet_facing,45,47,318,flat,0.25,0.1915,3,0.7,connected,0,0,1,0.02127659574,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,
1000005,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,6,41,293,flat,0.25,0.2439,24,0.7,connected,0,0,41,1,41,10,45,181,1,1,171,168,170,171,171,168,174,7,1193,225.525,0.8855698529,1,16,-1,0,0,13,0,192,
1000006,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,internet_facing,43,45,309,flat,0.25,0.1778,24,0.7,connected,0,0,43,0.9555555556,43,10,47,64,1,1,109,119,120,129,162,109,132,7,880,161.15,0.6165747549,1,42,140,1,1,14,0,192,
1000007,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,vendor_connection,57,58,385,flat,0.25,0.2931,24,0.7,connected,0,0,56,0.9655172414,56,10,60,-1,1,1,187,186,186,186,186,186,187,7,1304,246.85,0.9702818627,1,8,-1,0,0,15,0,192,
1000008,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,9,42,288,flat,0.25,0.3333,24,0.7,connected,0,0,40,0.9523809524,40,10,40,131,1,1,157,162,158,172,180,154,166,7,1149,214.85,0.8412990196,1,8,188,1,0.8571428571,12,0,192,
1000009,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,internet_facing,39,41,269,flat,0.25,0.2927,24,0.7,connected,0,0,41,1,41,10,40,-1,1,1,184,184,192,191,181,175,191,7,1298,245.55,0.9768688725,1,16,-1,0,0,12,0,192,
1000010,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,5,50,325,flat,0.9,0.78,3,0.7,connected,0,0,1,0.02,1,1,0,8,0,0,0,8,0,0,0,0,0,1,8,1.6,0.009803921569,0,8,18,1,1,0,1,18,
1000011,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,internet_facing,49,51,335,flat,0.9,0.7843,3,0.7,connected,0,0,3,0.05882352941,3,3,2,9,0,0,0,6,0,0,0,0,0,1,6,1.2,0.007352941176,0,16,11,1,1,0,1,19,
1000012,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,vendor_connection,59,60,387,flat,0.9,0.8667,3,0.7,connected,0,0,10,0.1666666667,10,5,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,29,
1000013,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,9,40,270,flat,0.9,0.725,3,0.7,connected,0,0,19,0.475,19,8,18,23,1,1,42,42,42,42,42,42,45,7,297,56.1,0.21875,1,16,44,1,1,4,0,100,
