trial_id,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,total_compromised,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,portfolio_cost
5000000,backup,20260713,small_clinic,resource_constrained,backup_connected,workstation,15,44,305,flat,0.25,0.3409,24,0.5,connected,0,0,43,0.9772727273,43,10,51,145,1,1,185,190,188,188,188,185,185,7,1309,247.625,0.9770220588,1,8,-1,0,0.2857142857,14,0,192,
5000001,backup,20260713,small_clinic,resource_constrained,backup_connected,internet_facing,40,42,284,flat,0.25,0.1667,24,0.5,connected,0,0,41,0.9761904762,41,10,44,146,1,1,183,189,187,190,189,183,190,7,1311,247.45,0.9734987745,1,8,-1,0,0.4285714286,12,0,192,
5000002,backup,20260713,small_clinic,resource_constrained,backup_connected,privileged_system,43,51,342,flat,0.25,0.2157,24,0.5,connected,0,0,50,0.9803921569,50,10,54,143,1,1,185,191,189,190,192,185,190,7,1322,249.55,0.9817708333,1,16,-1,0,0.4285714286,15,0,192,
5000003,backup,20260713,small_clinic,resource_constrained,backup_connected,medical_device,39,57,373,flat,0.25,0.2807,24,0.5,connected,0,0,55,0.9649122807,55,10,59,125,1,1,163,177,167,188,191,163,185,7,1234,230.15,0.8984375,1,8,190,1,0.8571428571,16,0,192,
5000004,backup,20260713,small_clinic,resource_constrained,backup_connected,vendor_connection,39,40,274,flat,0.25,0.225,24,0.5,connected,0,0,39,0.975,39,10,39,-1,1,1,188,188,190,192,188,188,188,7,1322,250.25,0.9862132353,1,0,-1,0,0,11,0,192,
5000005,backup,20260713,small_clinic,resource_constrained,backup_connected,workstation,5,55,357,flat,0.25,0.2,24,0.5,connected,0,0,55,1,55,10,61,179,1,1,181,180,182,180,180,180,179,7,1262,239.05,0.9417892157,1,8,-1,0,0,16,0,192,
5000006,backup,20260713,small_clinic,resource_constrained,backup_connected,internet_facing,38,40,268,flat,0.25,0.175,24,0.5,connected,0,0,40,1,40,10,48,-1,1,1,188,188,192,188,187,187,191,7,1321,250.125,0.9846813725,1,0,-1,0,0,11,0,192,
5000007,backup,20260713,small_clinic,resource_constrained,backup_connected,privileged_system,46,52,339,flat,0.25,0.1538,24,0.5,connected,0,0,50,0.9615384615,50,10,55,111,1,1,154,173,158,154,192,154,169,7,1154,214.8,0.8308823529,1,32,190,1,0.8571428571,14,0,192,
5000008,backup,20260713,small_clinic,resource_constrained,backup_connected,medical_device,33,50,322,flat,0.25,0.2,24,0.5,connected,0,0,49,0.98,49,10,56,99,1,1,137,149,144,157,186,137,152,7,1062,196.15,0.7593443627,1,16,164,1,0.8571428571,14,0,192,
5000009,backup,20260713,small_clinic,resource_constrained,backup_connected,vendor_connection,52,53,337,flat,0.25,0.2642,24,0.5,connected,0,0,53,1,53,10,53,164,1,1,185,190,187,191,186,184,192,7,1315,248.55,0.9788602941,1,16,-1,0,0,15,0,192,
5000010,backup,20260713,small_clinic,resource_constrained,backup_connected,workstation,5,43,299,flat,0.25,0.2558,24,0.5,connected,0,0,43,1,43,10,48,133,1,1,172,181,177,187,187,172,186,7,1262,237.05,0.9298406863,1,0,-1,0,0.5714285714,14,0,192,
5000011,backup,20260713,small_clinic,resource_constrained,backup_connected,internet_facing,49,51,349,flat,0.25,0.1569,24,0.5,connected,0,0,50,0.9803921569,50,10,53,-1,1,1,187,187,188,187,187,187,187,7,1310,248,0.9753370098,1,16,-1,0,0,15,0,192,
5000012,backup,20260713,small_clinic,resource_constrained,backup_connected,privileged_system,47,56,373,flat,0.25,0.25,24,0.5,connected,0,0,56,1,56,10,58,150,1,1,184,185,183,183,188,178,184,7,1285,242.65,0.9571078431,1,8,-1,0,0.2857142857,16,0,192,
