"ID","Citation","Design and data","Key quantitative findings","Permitted use in NAZE","Important limitation","Role","Source"
"E01","Neprash et al. Trends in Ransomware Attacks on US Hospitals, Clinics, and Other Health Care Delivery Organizations, 2016–2021. JAMA Health Forum. 2022.","Cohort of 374 publicly identified US healthcare ransomware attacks in the THREAT database.","Care delivery disruption documented in 166 attacks (44.4%); mean reported disruption duration 15.8 days; 32 attacks (8.6%) exceeded 2 weeks; electronic-system downtime in 156 attacks (41.7%).","Inform duration scenarios, prevalence context, and the need for long-horizon sensitivity analysis.","Public reporting is incomplete and selective; unsuccessful attacks are not observed; findings do not identify control efficacy or network transition probabilities.","Calibration bound and context","https://doi.org/10.1001/jamahealthforum.2022.4873"
"E02","Neprash, McGlave, and Nikpay. Hacked to Pieces? The Effects of Ransomware Attacks on Hospitals and Patients. American Economic Journal: Economic Policy. 2026.","Hospital ransomware database linked to Medicare claims using event-study methods.","Hospital volume decreased 17%–24% in the initial attack week and recovered within 3 weeks; in-hospital mortality among patients already admitted at attack onset increased 34%–38%.","Define held-out operational-pattern targets and justify modeling degraded care and multiweek recovery.","Claims-based hospital outcomes are not equivalent to modeled service availability; estimates should not be converted directly into asset-level probabilities.","Held-out external pattern validation","https://doi.org/10.1257/pol.20240594"
"E03","Ghafur et al. A retrospective impact analysis of the WannaCry cyberattack on the NHS. npj Digital Medicine. 2019.","Hospital Episodes Statistics analysis comparing activity during the WannaCry week.","Infected hospitals experienced an approximately 6% decrease in admissions; 13,500 outpatient appointments were cancelled in infected trusts; estimated lost activity was £5.9 million; no mortality increase was detected.","Provide a lower-severity operational-impact pattern and evidence that effects vary by incident and system resilience.","Single major event with a same-day kill switch; activity changes are not direct service-availability measures.","Calibration bound and held-out pattern","https://doi.org/10.1038/s41746-019-0161-6"
"E04","Dameff et al. Ransomware Attack Associated With Disruptions at Adjacent Emergency Departments in the US. JAMA Network Open. 2023.","Before-and-after cohort of 19,857 visits at two urban academic EDs adjacent to four attacked hospitals during a month-long incident.","During attack/recovery, adjacent EDs experienced increases in census, ambulance arrivals, waiting, patients leaving without being seen, length of stay, diversion, and time-sensitive stroke-care metrics.","Validate that severe incidents can generate regional spillover and motivate a future multi-hospital layer.","Observational single-region study; does not isolate individual defense effects.","Held-out external pattern validation","https://doi.org/10.1001/jamanetworkopen.2023.12270"
"E05","Abouk and Powell. Ransomware Attacks, ED Visits and Inpatient Admissions in Targeted and Nearby Hospitals. JAMA. 2024.","Difference-in-differences study of 8 attacks disrupting 15 California hospitals, compared with 355 unattacked hospitals.","At attacked hospitals, ED visits and inpatient admissions fell about 8% one week after attack and about 16% two weeks after; nearby ED visits increased about 7% by week 3; effects later returned toward baseline.","Supply an independent time-varying activity-loss and spillover pattern.","Only disruptive attacks were included; post-2020 attacks were unavailable; activity changes are not identical to service loss.","Held-out external pattern validation","https://doi.org/10.1001/jama.2024.7752"
"E06","Pham et al. Ransomware Cyberattack Associated With Cardiac Arrest Incidence and Outcomes at Untargeted, Adjacent Hospitals. Critical Care Explorations. 2024.","Cohort comparing pre-attack, attack, and post-attack phases at two hospitals adjacent to an attacked system; 78 cardiac arrests.","Total cardiac arrests increased from 21 before to 38 during attack; favorable neurologic outcome among out-of-hospital arrests decreased from 40.0% to 4.5% during attack, then increased after; incidence per 1,000 admissions did not significantly differ.","Demonstrate why regional workload and patient outcomes matter and why causal claims must be cautious.","Small event count and one regional incident; associations may reflect concurrent changes and diversion.","Context and held-out qualitative validation","https://doi.org/10.1097/CCE.0000000000001079"
"E07","Larsen et al. Continuing Patient Care during Electronic Health Record Downtime. Applied Clinical Informatics. 2019.","Hybrid quantitative and qualitative study of a 300-bed hospital ransomware event with about 48 hours total downtime followed by 48 hours partial recovery.","Laboratory turnaround time in available paper records increased by about 20 minutes (62%); interviews suggested some reporting delays extended for hours; manual workflows and incomplete documentation limited measurement.","Inform degraded-service structural scenarios, recovery sequencing, and the need to model workarounds rather than binary service loss alone.","Single facility; incomplete paper timestamps; observed process delay cannot be generalized to every service.","Model structure and calibration bound","https://doi.org/10.1055/s-0039-1692678"
"E08","Larsen et al. Implications of electronic health record downtime: an analysis of patient safety event reports. JAMIA. 2018.","Coded 76 EHR-downtime reports from 80,381 patient-safety reports.","Laboratory events accounted for 48.7% and medication events 14.5%; 46% indicated procedures were absent or not followed; only 27.6% indicated successful execution.","Inform service dependencies, manual-workaround failure modes, and uncertainty around downtime procedures.","Voluntary reports are selective and cannot estimate event incidence or capacity fractions.","Model structure","https://doi.org/10.1093/jamia/ocx057"
"E09","AHRQ. Evidence-based Contingency Planning for Electronic Health Record Downtime: Final Report. 2018.","Archival data, observations, 17 staff interviews, and coupled agent-based/discrete-event simulation at two hospitals.","Among 76 downtime reports, 48.7% involved laboratory processes; 46% indicated procedures were absent or not followed; models used 1,500 iterations and showed benefits from workload reduction and additional staff.","Provide a methodological example for triangulation, distribution fitting, and process-level downtime modeling.","Downtime data were incomplete and comprehensive downtime-model validation was not possible.","Methods and model structure","https://digital.ahrq.gov/file/33031/download"
"E10","Ghayoomi et al. Assessing resilience of hospitals to cyberattack. Digital Health. 2021.","Patient-based, resource-constrained discrete-event simulation of a typical urban tertiary hospital over a 16-day attack and recovery period.","Simulated ransomware scenarios reduced patient throughput; ICU recovery lagged ED recovery; results compared recovery strategies rather than asset-level prevention portfolios.","Inform a future patient-flow layer, a longer recovery horizon, and healthcare simulation reporting.","Synthetic attack parameters and modeled strategies do not validate NAZE transition probabilities.","Comparable simulation","https://doi.org/10.1177/20552076211059366"
