portfolio,attacker,mean_hours,lo,hi,p_catastrophic,p_identity
baseline_flat,adaptive,197.88475,193.64809375000004,202.156140625,0.995,0.995
baseline_flat,naive,179.379625,169.95388749999998,188.0784375,0.89,0.895
fast_detection,adaptive,126.568,122.16693750000002,130.7605125,0.96,0.955
fast_detection,naive,84.81075000000001,76.72190625,92.98569375,0.685,0.675
full_defense,adaptive,13.610625,10.478200000000001,16.8443375,0.295,0.23
full_defense,naive,3.7396249999999998,3.106353125,4.3927781249999995,0.03,0.06
isolated_backups,adaptive,140.487875,136.107275,144.966896875,0.99,0.99
isolated_backups,naive,131.0745,123.25255000000001,138.429425,0.89,0.885
least_privilege,adaptive,169.66525000000001,162.20523124999997,176.583465625,0.94,0.94
least_privilege,naive,67.83,57.33702187500001,78.50778125000001,0.525,0.465
patch_90,adaptive,192.44862500000002,186.06985,198.19704687499998,0.965,0.965
patch_90,naive,153.766125,141.24747187500003,166.37691875000002,0.745,0.745
