portfolio,attacker,trial,weighted_service_hours_lost,catastrophic,identity_compromised,total_compromised
baseline_flat,naive,0,0.0,0,0,1
baseline_flat,adaptive,0,0.0,0,0,1
baseline_flat,naive,1,170.825,1,1,238
baseline_flat,adaptive,1,203.125,1,1,273
baseline_flat,naive,2,200.075,1,1,251
baseline_flat,adaptive,2,178.2,1,1,272
baseline_flat,naive,3,154.9,1,1,179
baseline_flat,adaptive,3,202.15,1,1,207
baseline_flat,naive,4,213.45000000000002,1,1,224
baseline_flat,adaptive,4,208.6,1,1,235
baseline_flat,naive,5,0.0,0,0,1
baseline_flat,adaptive,5,169.25,1,1,215
baseline_flat,naive,6,213.25000000000003,1,1,238
baseline_flat,adaptive,6,177.875,1,1,253
baseline_flat,naive,7,189.75,1,1,253
baseline_flat,adaptive,7,168.7,1,1,290
baseline_flat,naive,8,197.22500000000002,1,1,207
baseline_flat,adaptive,8,163.625,1,1,229
baseline_flat,naive,9,171.35,1,1,185
baseline_flat,adaptive,9,179.425,1,1,220
baseline_flat,naive,10,169.12499999999997,1,1,222
baseline_flat,adaptive,10,178.05,1,1,249
baseline_flat,naive,11,219.85000000000005,1,1,227
baseline_flat,adaptive,11,176.60000000000002,1,1,261
baseline_flat,naive,12,187.97500000000002,1,1,245
baseline_flat,adaptive,12,182.22500000000002,1,1,270
baseline_flat,naive,13,186.375,1,1,256
baseline_flat,adaptive,13,213.84999999999997,1,1,288
baseline_flat,naive,14,177.6,1,1,169
baseline_flat,adaptive,14,198.25,1,1,210
baseline_flat,naive,15,188.72500000000002,1,1,225
baseline_flat,adaptive,15,221.375,1,1,250
baseline_flat,naive,16,203.32499999999996,1,1,229
baseline_flat,adaptive,16,200.85,1,1,256
baseline_flat,naive,17,238.17500000000004,1,1,237
baseline_flat,adaptive,17,250.55,1,1,274
baseline_flat,naive,18,233.20000000000002,1,1,188
baseline_flat,adaptive,18,252.925,1,1,203
baseline_flat,naive,19,203.6,1,1,170
baseline_flat,adaptive,19,172.025,1,1,206
baseline_flat,naive,20,0.0,0,0,1
baseline_flat,adaptive,20,180.875,1,1,279
baseline_flat,naive,21,243.50000000000003,1,1,265
baseline_flat,adaptive,21,158.675,1,1,290
baseline_flat,naive,22,210.1,1,1,186
baseline_flat,adaptive,22,203.39999999999998,1,1,208
baseline_flat,naive,23,193.22500000000002,1,1,244
baseline_flat,adaptive,23,194.57500000000002,1,1,280
baseline_flat,naive,24,214.57500000000002,1,1,196
baseline_flat,adaptive,24,154.92499999999998,1,1,216
baseline_flat,naive,25,237.12500000000003,1,1,248
baseline_flat,adaptive,25,201.35,1,1,275
baseline_flat,naive,26,182.125,1,1,226
baseline_flat,adaptive,26,170.29999999999998,1,1,252
baseline_flat,naive,27,201.375,1,1,241
baseline_flat,adaptive,27,171.1,1,1,267
baseline_flat,naive,28,178.77500000000003,1,1,206
baseline_flat,adaptive,28,209.60000000000002,1,1,239
baseline_flat,naive,29,202.6,1,1,213
baseline_flat,adaptive,29,156.20000000000002,1,1,236
baseline_flat,naive,30,203.42499999999998,1,1,214
baseline_flat,adaptive,30,158.825,1,1,249
baseline_flat,naive,31,211.775,1,1,218
baseline_flat,adaptive,31,168.975,1,1,243
baseline_flat,naive,32,0.5,0,0,1
baseline_flat,adaptive,32,226.22499999999997,1,1,246
baseline_flat,naive,33,171.35,1,1,209
baseline_flat,adaptive,33,180.175,1,1,259
