facility,profile,trial,policy,weighted_service_hours_lost,pct_services_restored,reinfections
small_clinic,resource_constrained,0,gated,0.0,1.0,0
small_clinic,resource_constrained,0,naive,0.0,1.0,0
small_clinic,resource_constrained,0,mvr,0.0,1.0,0
small_clinic,resource_constrained,0,riar,0.0,1.0,0
small_clinic,resource_constrained,1,gated,99.825,1.0,0
small_clinic,resource_constrained,1,naive,76.05,1.0,9
small_clinic,resource_constrained,1,mvr,63.125,1.0,10
small_clinic,resource_constrained,1,riar,9.325,1.0,0
small_clinic,resource_constrained,2,gated,98.625,1.0,0
small_clinic,resource_constrained,2,naive,69.45,1.0,3
small_clinic,resource_constrained,2,mvr,51.975,1.0,3
small_clinic,resource_constrained,2,riar,49.87500000000001,1.0,2
small_clinic,resource_constrained,3,gated,83.60000000000001,1.0,0
small_clinic,resource_constrained,3,naive,70.07500000000002,1.0,4
small_clinic,resource_constrained,3,mvr,65.975,1.0,6
small_clinic,resource_constrained,3,riar,48.675000000000004,1.0,1
small_clinic,resource_constrained,4,gated,93.05,1.0,0
small_clinic,resource_constrained,4,naive,70.69999999999999,1.0,10
small_clinic,resource_constrained,4,mvr,83.25,1.0,14
small_clinic,resource_constrained,4,riar,77.8,1.0,10
small_clinic,resource_constrained,5,gated,94.07499999999999,1.0,0
small_clinic,resource_constrained,5,naive,85.85000000000001,1.0,9
small_clinic,resource_constrained,5,mvr,75.25,1.0,9
small_clinic,resource_constrained,5,riar,43.85,1.0,4
small_clinic,resource_constrained,6,gated,0.0,1.0,0
small_clinic,resource_constrained,6,naive,0.0,1.0,0
small_clinic,resource_constrained,6,mvr,0.0,1.0,0
small_clinic,resource_constrained,6,riar,0.0,1.0,0
small_clinic,resource_constrained,7,gated,128.52500000000003,1.0,0
small_clinic,resource_constrained,7,naive,83.725,1.0,4
small_clinic,resource_constrained,7,mvr,68.275,1.0,4
small_clinic,resource_constrained,7,riar,51.825,1.0,2
small_clinic,resource_constrained,8,gated,20.5,1.0,0
small_clinic,resource_constrained,8,naive,53.025000000000006,1.0,42
small_clinic,resource_constrained,8,mvr,46.325,1.0,27
small_clinic,resource_constrained,8,riar,10.149999999999999,1.0,0
small_clinic,resource_constrained,9,gated,58.175,1.0,0
small_clinic,resource_constrained,9,naive,100.425,1.0,8
small_clinic,resource_constrained,9,mvr,83.625,1.0,8
small_clinic,resource_constrained,9,riar,69.725,1.0,2
small_clinic,resource_constrained,10,gated,0.0,1.0,0
small_clinic,resource_constrained,10,naive,0.0,1.0,0
small_clinic,resource_constrained,10,mvr,0.0,1.0,0
small_clinic,resource_constrained,10,riar,0.0,1.0,0
small_clinic,resource_constrained,11,gated,108.72500000000001,1.0,0
small_clinic,resource_constrained,11,naive,101.075,1.0,10
small_clinic,resource_constrained,11,mvr,86.725,1.0,10
small_clinic,resource_constrained,11,riar,91.925,1.0,7
small_clinic,resource_constrained,12,gated,118.45000000000002,1.0,0
small_clinic,resource_constrained,12,naive,83.87500000000001,1.0,15
small_clinic,resource_constrained,12,mvr,80.65,0.8571428571428571,16
small_clinic,resource_constrained,12,riar,17.15,1.0,3
small_clinic,resource_constrained,13,gated,114.87499999999999,1.0,0
small_clinic,resource_constrained,13,naive,73.97500000000001,1.0,17
small_clinic,resource_constrained,13,mvr,67.175,1.0,16
small_clinic,resource_constrained,13,riar,85.14999999999999,1.0,6
small_clinic,resource_constrained,14,gated,90.72500000000001,1.0,0
small_clinic,resource_constrained,14,naive,66.75000000000001,1.0,3
small_clinic,resource_constrained,14,mvr,57.550000000000004,1.0,3
small_clinic,resource_constrained,14,riar,53.349999999999994,1.0,1
small_clinic,resource_constrained,15,gated,101.35,1.0,0
small_clinic,resource_constrained,15,naive,89.95,1.0,7
small_clinic,resource_constrained,15,mvr,66.2,1.0,6
small_clinic,resource_constrained,15,riar,33.99999999999999,1.0,2
small_clinic,resource_constrained,16,gated,142.8,1.0,0
small_clinic,resource_constrained,16,naive,65.825,1.0,4
small_clinic,resource_constrained,16,mvr,79.55000000000001,1.0,8
small_clinic,resource_constrained,16,riar,27.900000000000002,1.0,0
small_clinic,resource_constrained,17,gated,107.75000000000001,0.8571428571428571,0
small_clinic,resource_constrained,17,naive,73.625,1.0,7
small_clinic,resource_constrained,17,mvr,53.15,1.0,7
small_clinic,resource_constrained,17,riar,54.52499999999999,1.0,4
small_clinic,resource_constrained,18,gated,0.0,1.0,0
small_clinic,resource_constrained,18,naive,0.0,1.0,0
small_clinic,resource_constrained,18,mvr,0.0,1.0,0
small_clinic,resource_constrained,18,riar,0.0,1.0,0
small_clinic,resource_constrained,19,gated,79.75,1.0,0
small_clinic,resource_constrained,19,naive,95.75,1.0,41
small_clinic,resource_constrained,19,mvr,66.0,1.0,30
small_clinic,resource_constrained,19,riar,32.825,1.0,4
small_clinic,resource_constrained,20,gated,0.0,1.0,0
small_clinic,resource_constrained,20,naive,89.37500000000001,1.0,19
small_clinic,resource_constrained,20,mvr,66.97500000000001,1.0,21
small_clinic,resource_constrained,20,riar,23.075,1.0,3
