portfolio,cost,attacker,hours,catastrophic
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,0.0,0
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,0.0,0
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,172.85000000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,165.82500000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,201.35000000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,245.62500000000003,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,196.05,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,202.5,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,195.7,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,182.075,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,208.1,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,210.7,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,182.625,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,211.675,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,223.425,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,220.575,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,228.325,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,241.85000000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,210.275,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,186.45000000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,174.725,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,249.50000000000003,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,179.12499999999997,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,190.65,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,202.29999999999998,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,192.72500000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,231.37500000000003,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,220.07500000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,5.0,0
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,217.60000000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,0.0,0
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,188.425,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,225.77500000000003,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,190.475,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,231.75000000000003,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,250.075,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,249.675,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,163.75,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,234.22500000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,199.675,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,233.10000000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,228.65,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,214.02499999999998,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,169.025,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,230.64999999999998,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,172.175,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,228.04999999999998,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,179.475,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,170.42500000000004,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,205.975,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,214.45000000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,201.675,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,187.87499999999997,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,191.55,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,200.75000000000003,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,193.95000000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,214.07500000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,158.075,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,216.875,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,204.97500000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,210.5,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,190.775,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,184.775,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,207.225,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,236.49999999999997,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,203.07500000000005,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,208.79999999999998,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,177.725,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,174.32500000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,179.6,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,168.775,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,177.3,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,200.75,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,216.175,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,189.725,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,229.37500000000003,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,188.04999999999998,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,223.65,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,164.92499999999998,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,156.2,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,1.4,0
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,166.07500000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,191.875,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,173.25,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,191.45,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,165.57500000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,229.975,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,213.35,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,234.07500000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,176.95000000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,168.075,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,173.025,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,189.175,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,144.20000000000002,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,189.52500000000003,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,adaptive,210.37500000000003,1
seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.0,naive,157.875,1
