portfolio,profile,p_clinical_disruption,n_trials
baseline_flat,resource_constrained,1.0,125
isolated_backups,resource_constrained,1.0,125
identity_controls,resource_constrained,0.984,125
patch_90,resource_constrained,0.976,125
basic_segmentation,resource_constrained,0.976,125
profile_baseline,resource_constrained,0.992,125
detection_plus_backups,resource_constrained,0.96,125
least_privilege,resource_constrained,0.968,125
patch_plus_least_privilege,resource_constrained,0.848,125
fast_detection,resource_constrained,0.92,125
seg_plus_patch,resource_constrained,0.912,125
seg_detect_backup,resource_constrained,0.92,125
seg_plus_detection,resource_constrained,0.896,125
full_defense,resource_constrained,0.72,125
baseline_flat,intermediate_capacity,0.984,125
isolated_backups,intermediate_capacity,0.96,125
identity_controls,intermediate_capacity,0.944,125
patch_90,intermediate_capacity,0.936,125
basic_segmentation,intermediate_capacity,0.92,125
profile_baseline,intermediate_capacity,0.864,125
detection_plus_backups,intermediate_capacity,0.84,125
least_privilege,intermediate_capacity,0.784,125
patch_plus_least_privilege,intermediate_capacity,0.72,125
fast_detection,intermediate_capacity,0.848,125
seg_plus_patch,intermediate_capacity,0.712,125
seg_detect_backup,intermediate_capacity,0.752,125
seg_plus_detection,intermediate_capacity,0.68,125
full_defense,intermediate_capacity,0.648,125
baseline_flat,high_capacity,0.68,125
isolated_backups,high_capacity,0.632,125
identity_controls,high_capacity,0.616,125
patch_90,high_capacity,0.568,125
basic_segmentation,high_capacity,0.52,125
profile_baseline,high_capacity,0.52,125
detection_plus_backups,high_capacity,0.512,125
least_privilege,high_capacity,0.56,125
patch_plus_least_privilege,high_capacity,0.64,125
fast_detection,high_capacity,0.432,125
seg_plus_patch,high_capacity,0.576,125
seg_detect_backup,high_capacity,0.456,125
seg_plus_detection,high_capacity,0.392,125
full_defense,high_capacity,0.456,125
