patch_coverage,detection_delay,n,catastrophic_prob,mean_hours_lost,hours_ci95_lo,hours_ci95_hi,mean_pct_compromised
0.25,1,50,0.44,21.6745,15.42275,28.721675,0.184456262392662
0.25,3,50,0.72,65.914,54.874100000000006,76.584225,0.5300873780010157
0.25,6,50,0.86,117.7375,103.5212375,129.87643749999998,0.7453071965494928
0.25,12,50,0.86,166.8475,147.1793375,185.319825,0.8051730880843402
0.25,24,50,1.0,244.9615000000001,243.3494875,246.458175,0.9747013524324368
0.5,1,50,0.14,5.696999999999999,3.3143625000000005,8.589399999999998,0.0447452687217407
0.5,3,50,0.76,63.816,52.80465,74.13882499999998,0.4313090298264364
0.5,6,50,0.84,113.40350000000002,98.46493749999998,127.0846,0.6317804986427227
0.5,12,50,0.96,206.12600000000003,192.2204875,217.3768375,0.8504170550537957
0.5,24,50,0.98,236.008,225.5926,242.1771,0.9320569148634954
0.75,1,50,0.04,4.225,2.9393875,5.683075,0.0212789648716728
0.75,3,50,0.32,21.607000000000003,13.741162499999998,29.898849999999992,0.1224911620058691
0.75,6,50,0.66,83.50049999999999,66.71373750000001,100.1876625,0.3874321293006795
0.75,12,50,0.9,181.117,162.20416250000002,198.243325,0.7346124739984106
0.75,24,50,0.96,221.5715,205.1146,234.43875,0.8833461657346104
0.9,1,50,0.08,5.0375000000000005,3.4814375000000006,6.802324999999999,0.0142586529611738
0.9,3,50,0.28,13.986,8.561975,20.496012499999992,0.0697855860599517
0.9,6,50,0.54,62.396,45.57045,79.39467499999998,0.248099335634542
0.9,12,50,0.74,150.27400000000003,124.6309625,174.48112500000002,0.5712586788408943
0.9,24,50,0.88,201.36900000000003,179.6508625,220.795525,0.8033459064555579
