facility,profile,portfolio,portfolio_cost,baseline_mean_hours_lost,mean_hours_lost,hours_preserved_per_point
regional_hospital,high_capacity,basic_segmentation,3,20.1298,4.175,5.318266667
regional_hospital,high_capacity,detection_plus_backups,10,20.1298,3.307,1.68228
regional_hospital,high_capacity,fast_detection,8,20.1298,2.129,2.2501
regional_hospital,high_capacity,full_defense,21,20.1298,2.6738,0.8312380952
regional_hospital,high_capacity,identity_controls,4,20.1298,12.885,1.8112
regional_hospital,high_capacity,isolated_backups,2,20.1298,11.7346,4.1976
regional_hospital,high_capacity,least_privilege,5,20.1298,3.6746,3.29104
regional_hospital,high_capacity,patch_90,2,20.1298,5.0544,7.5377
regional_hospital,high_capacity,patch_plus_least_privilege,7,20.1298,3.9532,2.310942857
regional_hospital,high_capacity,seg_detect_backup,13,20.1298,2.8866,1.3264
regional_hospital,high_capacity,seg_plus_detection,11,20.1298,3.0572,1.552054545
regional_hospital,high_capacity,seg_plus_patch,5,20.1298,3.903,3.24536
regional_hospital,intermediate_capacity,basic_segmentation,3,185.422,143.5212,13.96693333
regional_hospital,intermediate_capacity,detection_plus_backups,10,185.422,53.7168,13.17052
regional_hospital,intermediate_capacity,fast_detection,8,185.422,90.9518,11.808775
regional_hospital,intermediate_capacity,full_defense,23,185.422,3.649,7.903173913
regional_hospital,intermediate_capacity,identity_controls,4,185.422,183.6374,0.44615
regional_hospital,intermediate_capacity,isolated_backups,2,185.422,129.4556,27.9832
regional_hospital,intermediate_capacity,least_privilege,5,185.422,71.7064,22.74312
regional_hospital,intermediate_capacity,patch_90,4,185.422,146.7804,9.6604
regional_hospital,intermediate_capacity,patch_plus_least_privilege,9,185.422,10.514,19.43422222
regional_hospital,intermediate_capacity,seg_detect_backup,13,185.422,18.1066,12.87041538
regional_hospital,intermediate_capacity,seg_plus_detection,11,185.422,27.2184,14.38214545
regional_hospital,intermediate_capacity,seg_plus_patch,7,185.422,54.4936,18.70405714
regional_hospital,resource_constrained,basic_segmentation,3,242.3194,227.5416,4.925933333
regional_hospital,resource_constrained,detection_plus_backups,10,242.3194,138.2936,10.40258
regional_hospital,resource_constrained,fast_detection,8,242.3194,177.1902,8.14115
regional_hospital,resource_constrained,full_defense,25,242.3194,11.8372,9.219288
regional_hospital,resource_constrained,identity_controls,4,242.3194,236.9026,1.3542
regional_hospital,resource_constrained,isolated_backups,2,242.3194,208.3632,16.9781
regional_hospital,resource_constrained,least_privilege,5,242.3194,201.618,8.14028
regional_hospital,resource_constrained,patch_90,6,242.3194,217.9566,4.060466667
regional_hospital,resource_constrained,patch_plus_least_privilege,11,242.3194,80.2318,14.73523636
regional_hospital,resource_constrained,seg_detect_backup,13,242.3194,123.7736,9.118907692
regional_hospital,resource_constrained,seg_plus_detection,11,242.3194,164.3668,7.0866
regional_hospital,resource_constrained,seg_plus_patch,9,242.3194,173.3124,7.667444444
