detection_delay,cost_frac,n,mean_open,mean_static,mean_reactive,mean_vgri,mean_rpe,winner,rpe_minus_best_baseline,rpe_lo,rpe_hi,rpe_sig_best,vgri_minus_best_baseline,vgri_lo,vgri_hi,vgri_sig_best
1,0.0,150,9.848500000000001,3.7001666666666666,3.9225,6.610999999999999,5.104666666666667,static,2.531,1.6989833333333333,3.377704166666667,False,4.037333333333333,2.7796000000000003,5.397970833333333,False
1,0.15,150,9.201000000000002,3.6655,3.4395,5.144166666666667,3.937,reactive,1.4383333333333332,0.6447041666666665,2.353433333333333,False,2.6454999999999997,1.5417541666666665,3.9781874999999998,False
1,0.3,150,9.836833333333335,3.720333333333334,3.6026666666666673,7.359666666666667,4.095,reactive,1.6795,1.0007833333333331,2.4344916666666654,False,4.944166666666667,3.456575,6.602245833333334,False
1,0.45,150,10.252666666666668,55.039833333333334,6.498333333333333,6.6275,4.405833333333334,rpe,0.4105000000000002,-0.31646666666666656,1.1091708333333337,False,2.6321666666666665,1.3071291666666667,4.14435833333333,False
2,0.0,150,37.02216666666667,6.3134999999999994,7.533,26.524833333333337,14.293666666666665,static,9.5595,6.535225,12.8167875,False,21.79066666666667,17.560508333333335,26.280391666666667,False
2,0.15,150,32.56633333333333,4.815833333333333,6.447166666666666,23.179333333333332,11.770833333333334,static,8.272166666666669,5.813408333333334,11.015583333333332,False,19.680666666666667,15.765045833333334,23.96805833333333,False
2,0.3,150,36.51316666666667,4.522666666666667,7.864500000000001,24.632833333333334,12.111833333333333,static,8.774,5.950783333333334,11.902400000000002,False,21.295,17.3018,25.68667083333333,False
2,0.45,150,35.16466666666667,56.96716666666667,11.032666666666668,23.81383333333333,11.228833333333332,reactive,2.268833333333334,0.25770833333333387,4.516191666666664,False,14.853833333333332,11.167920833333335,18.666370833333332,False
3,0.0,150,61.78533333333333,10.569,13.847333333333333,47.68716666666667,31.48316666666667,static,23.531,18.803704166666666,28.503595833333332,False,39.735,33.70537916666667,45.765674999999995,False
3,0.15,150,60.43200000000001,12.411666666666667,14.408666666666669,48.93,28.82933333333333,static,21.543333333333333,17.3006875,26.014279166666665,False,41.644,35.237516666666664,47.79710416666667,False
3,0.3,150,60.36833333333333,9.2805,15.973000000000003,49.53966666666666,30.22583333333334,static,23.589000000000002,18.63734583333333,29.021183333333337,False,42.90283333333333,36.714175,48.813449999999996,False
3,0.45,150,58.53283333333333,62.12433333333334,26.690833333333334,51.40983333333333,29.471500000000002,reactive,8.936,4.531775,13.50180833333333,False,30.874333333333336,25.058970833333333,37.021366666666665,False
6,0.0,150,114.51533333333333,64.19333333333334,81.81083333333333,110.99916666666667,99.25099999999999,static,48.45766666666666,39.50337083333334,57.85412499999999,False,60.20583333333333,51.138762500000006,69.65236666666667,False
6,0.15,150,113.00316666666666,55.64116666666667,80.75783333333334,107.49933333333333,92.318,static,47.17633333333333,38.23525,56.46645416666665,False,62.35766666666665,53.11400416666667,71.85870833333333,False
6,0.3,150,112.54083333333334,61.01716666666667,85.35416666666667,109.53949999999999,99.6575,static,49.97866666666667,40.661362499999996,59.057304166666654,False,59.86066666666667,50.060366666666674,69.61217083333334,False
6,0.45,150,114.00183333333334,106.29299999999998,102.2445,108.69883333333334,92.78200000000001,rpe,20.622333333333337,13.270720833333334,28.46417916666666,False,36.53916666666667,28.651516666666666,45.384949999999996,False
12,0.0,150,188.19799999999998,153.073,171.58716666666666,185.75933333333333,180.19116666666667,static,44.94966666666667,33.66920416666667,56.27505416666664,False,50.51783333333332,39.18571666666666,62.1407333333333,False
12,0.15,150,186.97766666666666,147.81766666666667,175.00783333333334,183.93666666666667,176.0616666666667,static,40.74133333333334,29.660995833333338,52.34985416666667,False,48.61633333333334,37.64996250000001,60.07200833333334,False
12,0.3,150,188.5665,158.1575,174.4045,187.46050000000002,180.77233333333334,static,40.737,28.84283333333334,53.0716125,False,47.42516666666668,35.23639583333334,59.39144166666666,False
12,0.45,150,190.9718333333333,179.40683333333334,190.52783333333332,191.75516666666667,183.04399999999998,static,26.271,16.900508333333335,35.288583333333335,False,34.98216666666667,24.56788333333333,45.151291666666665,False
24,0.0,150,223.68099999999995,193.47933333333333,215.75950000000003,222.83,218.4095,static,26.692333333333337,18.6382875,35.85297083333333,False,31.112833333333334,22.8012375,40.76090416666666,False
24,0.15,150,232.35266666666666,201.45800000000003,224.18266666666673,230.8095,226.96083333333337,static,26.843166666666665,17.87443333333333,36.92524999999999,False,30.69183333333333,21.830954166666668,40.84681666666667,False
24,0.3,150,232.74350000000007,202.7075,224.49633333333333,232.24416666666667,227.23283333333336,static,25.385000000000005,17.095625000000002,34.70660416666665,False,30.396333333333338,21.71855416666667,39.79564166666667,False
24,0.45,150,236.46450000000002,216.26149999999998,231.23850000000002,235.34866666666667,231.84583333333333,static,18.13866666666667,11.07205416666667,25.970895833333305,False,21.641500000000004,14.299316666666673,29.336875000000003,False
