trial_id,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,total_compromised,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,portfolio_cost
5000000,backup,20260713,small_clinic,resource_constrained,backup_connected,workstation,13,44,344,flat,0.25,24,0.5,connected,0,0,41,0.9318181818181818,41,10,46,109,1,1,151,157,155,166,184,149,156,7,1118,208.4,0.8154105392156871,1,24,175,1,0.8571428571428571,13,0,192,
5000001,backup,20260713,small_clinic,resource_constrained,backup_connected,internet_facing,40,42,326,flat,0.25,24,0.5,connected,0,0,42,1.0,42,10,46,-1,1,1,191,191,191,191,191,191,189,7,1335,252.775,0.9947916666666666,1,0,-1,0,0.0,12,0,192,
5000002,backup,20260713,small_clinic,resource_constrained,backup_periodic,workstation,17,51,381,flat,0.25,24,0.5,periodic,0,0,49,0.9607843137254902,49,10,50,99,1,1,135,148,139,140,184,131,155,7,1032,190.25,0.7299325980392161,1,44,155,1,0.8571428571428571,14,0,192,
5000003,backup,20260713,small_clinic,resource_constrained,backup_periodic,internet_facing,55,57,409,flat,0.25,24,0.5,periodic,0,0,54,0.9473684210526315,54,10,57,137,1,1,176,190,180,192,192,176,189,7,1295,243.25,0.9564950980392158,1,8,-1,0,0.5714285714285714,16,0,192,
5000004,backup,20260713,small_clinic,resource_constrained,backup_isolated,workstation,3,40,294,flat,0.25,24,0.5,isolated,0,0,37,0.925,37,9,40,121,0,1,123,128,128,134,136,123,0,6,772,149.87500000000003,0.6654411764705881,1,16,163,1,1.0,0,1,163,
5000005,backup,20260713,small_clinic,resource_constrained,backup_isolated,internet_facing,53,55,391,flat,0.25,24,0.5,isolated,0,0,53,0.9636363636363636,53,9,60,177,0,1,181,186,183,188,186,181,3,7,1108,216.29999999999998,0.9590992647058826,1,3,-1,0,0.5714285714285714,0,1,192,
5000006,backup,20260713,small_clinic,intermediate_capacity,backup_connected,workstation,5,40,305,flat,0.5,12,0.7,connected,0,0,39,0.975,39,10,43,123,1,1,153,161,157,169,182,153,156,7,1131,211.375,0.8293504901960791,1,0,180,1,0.8571428571428571,11,0,192,
5000007,backup,20260713,small_clinic,intermediate_capacity,backup_connected,internet_facing,50,52,386,flat,0.5,12,0.7,connected,0,0,42,0.8076923076923077,42,10,41,83,1,1,105,116,108,104,166,104,119,7,822,149.8,0.5634191176470588,1,61,131,1,1.0,12,0,192,
5000008,backup,20260713,small_clinic,intermediate_capacity,backup_periodic,workstation,12,50,374,flat,0.5,12,0.7,periodic,0,0,1,0.02,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1.0,0,1,6,
5000009,backup,20260713,small_clinic,intermediate_capacity,backup_periodic,internet_facing,51,53,395,flat,0.5,12,0.7,periodic,0,0,43,0.8113207547169812,43,10,44,93,1,1,133,144,137,156,190,133,141,7,1034,190.25000000000003,0.7363664215686283,1,32,159,1,0.8571428571428571,15,0,192,
