trial_id,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,total_compromised,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated
10000000,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,workstation,5,49,364,flat,0.25,24,0.5,connected,0,0,49,1.0,49,10,62,151,1,1,188,189,190,188,189,188,186,7,1318,249.55000000000004,0.9831495098039215,1,23,-1,0,0.0,14,0,192
10000001,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm0,internet_facing,38,40,316,flat,0.25,24,0.5,connected,0,0,39,0.975,39,10,53,157,1,1,189,188,187,192,186,186,190,7,1318,249.47499999999997,0.9836090686274509,1,16,-1,0,0.0,12,0,192
10000002,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm1,workstation,14,54,401,flat,0.25,24,0.5,connected,1,0,54,1.0,54,10,62,147,1,1,175,179,181,179,180,175,173,7,1242,234.92499999999998,0.9289215686274512,1,16,-1,0,0.2857142857142857,16,0,192
10000003,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso0|bak-connected|idm1,internet_facing,45,47,355,flat,0.25,24,0.5,connected,1,0,45,0.9574468085106383,45,10,48,108,1,1,154,154,150,162,188,146,133,7,1087,203.0,0.8051470588235299,1,12,-1,0,0.7142857142857143,13,0,192
10000004,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso0|bak-isolated|idm0,workstation,11,60,421,flat,0.25,24,0.5,isolated,0,0,56,0.9333333333333333,56,9,62,138,0,1,145,157,145,150,163,144,8,7,912,176.425,0.7752757352941183,1,24,171,1,1.0,0,1,186
10000005,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso0|bak-isolated|idm0,internet_facing,42,44,322,flat,0.25,24,0.5,isolated,0,0,40,0.9090909090909091,40,9,44,134,0,1,141,141,139,144,150,137,0,6,852,165.75,0.7348345588235295,1,32,148,1,1.0,0,1,175
10000006,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso0|bak-isolated|idm1,workstation,0,41,300,flat,0.25,24,0.5,isolated,1,0,39,0.9512195121951219,39,9,43,145,0,1,145,149,149,149,156,145,0,6,893,173.875,0.7699142156862746,1,16,159,1,1.0,0,1,185
10000007,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso0|bak-isolated|idm1,internet_facing,42,44,327,flat,0.25,24,0.5,isolated,1,0,41,0.9318181818181818,41,9,46,130,0,1,134,137,136,142,156,133,0,6,838,161.875,0.7129289215686277,1,40,143,1,1.0,0,1,172
10000008,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso1|bak-connected|idm0,workstation,5,60,431,flat,0.25,24,0.95,connected,0,1,56,0.9333333333333333,56,10,61,119,1,1,153,163,157,177,189,153,164,7,1156,215.07500000000002,0.8403799019607853,1,16,181,1,0.8571428571428571,16,0,192
10000009,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso1|bak-connected|idm0,internet_facing,51,53,395,flat,0.25,24,0.95,connected,0,1,52,0.9811320754716981,52,10,57,-1,1,1,192,192,192,192,192,192,187,7,1339,253.65000000000003,1.0,1,8,-1,0,0.0,15,0,192
10000010,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso1|bak-connected|idm1,workstation,0,56,426,flat,0.25,24,0.95,connected,1,1,54,0.9642857142857143,54,10,61,-1,1,1,183,181,181,181,185,181,183,7,1275,241.025,0.9457720588235294,1,8,-1,0,0.0,18,0,192
10000011,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso1|bak-connected|idm1,internet_facing,49,51,383,flat,0.25,24,0.95,connected,1,1,51,1.0,51,10,60,104,1,1,150,165,154,167,186,150,159,7,1131,210.575,0.8233762254901963,1,48,174,1,0.8571428571428571,15,0,192
10000012,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso1|bak-isolated|idm0,workstation,7,51,363,flat,0.25,24,0.95,isolated,0,1,47,0.9215686274509803,47,9,50,192,0,1,187,184,184,186,186,184,0,6,1111,217.5,0.9650735294117648,1,16,-1,0,0.14285714285714285,0,1,192
10000013,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso1|bak-isolated|idm0,internet_facing,48,50,362,flat,0.25,24,0.95,isolated,0,1,48,0.96,48,9,59,163,0,1,173,176,174,178,189,173,0,6,1063,206.57500000000002,0.9114583333333335,1,8,179,1,1.0,0,1,192
10000014,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso1|bak-isolated|idm1,workstation,18,48,336,flat,0.25,24,0.95,isolated,1,1,45,0.9375,45,9,51,146,0,1,137,149,139,148,148,124,8,7,853,165.125,0.7428002450980394,1,64,163,1,1.0,0,1,192
10000015,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det0|iso1|bak-isolated|idm1,internet_facing,56,58,407,flat,0.25,24,0.95,isolated,1,1,53,0.9137931034482759,53,9,60,174,0,1,179,187,181,184,188,178,8,7,1105,215.125,0.9502144607843138,1,16,189,1,0.8571428571428571,0,1,192
10000016,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det1|iso0|bak-connected|idm0,workstation,3,42,326,flat,0.25,12,0.5,connected,0,0,37,0.8809523809523809,37,10,37,60,1,1,97,113,101,114,142,97,103,7,767,141.0,0.5485600490196075,1,32,190,1,1.0,11,0,192
10000017,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det1|iso0|bak-connected|idm0,internet_facing,48,50,367,flat,0.25,12,0.5,connected,0,0,1,0.02,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1.0,0,1,5
10000018,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det1|iso0|bak-connected|idm1,workstation,4,46,366,flat,0.25,12,0.5,connected,1,0,42,0.9130434782608695,42,10,47,82,1,1,125,131,121,142,173,117,139,7,948,174.0,0.6711090686274511,1,16,151,1,1.0,15,0,192
10000019,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det1|iso0|bak-connected|idm1,internet_facing,39,41,326,flat,0.25,12,0.5,connected,1,0,36,0.8780487804878049,36,10,38,59,1,1,89,102,106,115,135,85,76,7,708,130.65,0.5307904411764705,1,48,118,1,1.0,11,0,192
10000020,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det1|iso0|bak-isolated|idm0,workstation,15,60,421,flat,0.25,12,0.5,isolated,0,0,54,0.9,54,9,59,67,0,1,63,68,64,72,84,63,0,6,414,78.925,0.345281862745098,1,64,84,1,1.0,0,1,114
10000021,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det1|iso0|bak-isolated|idm0,internet_facing,46,48,346,flat,0.25,12,0.5,isolated,0,0,45,0.9375,45,9,48,95,0,1,101,103,112,105,117,101,8,7,647,125.05,0.5479473039215687,1,16,135,1,1.0,0,1,141
10000022,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det1|iso0|bak-isolated|idm1,workstation,1,45,330,flat,0.25,12,0.5,isolated,1,0,42,0.9333333333333333,42,9,43,82,0,1,85,86,86,91,96,83,0,6,527,102.00000000000001,0.4517463235294117,1,24,97,1,1.0,0,1,128
10000023,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det1|iso0|bak-isolated|idm1,internet_facing,52,54,377,flat,0.25,12,0.5,isolated,1,0,50,0.9259259259259259,50,9,57,80,0,1,99,93,92,95,105,91,8,7,583,112.85000000000001,0.4943321078431373,1,16,115,1,1.0,0,1,128
10000024,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det1|iso1|bak-connected|idm0,workstation,2,46,356,flat,0.25,12,0.95,connected,0,1,41,0.8913043478260869,41,10,48,91,1,1,131,140,135,150,183,126,149,7,1014,186.375,0.7192095588235303,1,47,156,1,1.0,14,0,192
10000025,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det1|iso1|bak-connected|idm0,internet_facing,52,54,396,flat,0.25,12,0.95,connected,0,1,51,0.9444444444444444,51,10,65,100,1,1,141,152,145,163,192,141,160,7,1094,201.725,0.7769607843137263,1,12,164,1,0.8571428571428571,15,0,192
10000026,optimization,20260713,small_clinic,resource_constrained,seg-flat|patch+0|det1|iso1|bak-connected|idm1,workstation,3,45,337,flat,0.25,12,0.95,connected,1,1,2,0.044444444444444446,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1.0,0,1,7
