trial_id,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,total_compromised,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,portfolio_cost
1000000,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,2,43,325,flat,0.25,3,0.7,connected,0,0,3,0.06976744186046512,3,1,2,12,0,0,8,8,12,11,8,8,0,6,55,10.825000000000003,0.05039828431372548,1,24,18,1,1.0,0,1,18,
1000001,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,internet_facing,50,52,389,flat,0.25,3,0.7,connected,0,0,24,0.46153846153846156,24,9,23,26,0,1,24,22,21,29,35,15,0,6,146,27.075,0.12377450980392156,1,8,34,1,1.0,0,1,51,
1000002,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,vendor_connection,51,52,384,flat,0.25,3,0.7,connected,0,0,37,0.7115384615384616,37,10,38,40,1,1,75,79,87,83,123,75,57,7,579,106.375,0.4206495098039215,1,32,153,1,1.0,10,0,184,
1000003,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,5,44,342,flat,0.25,3,0.7,connected,0,0,32,0.7272727272727273,32,10,33,27,1,1,58,58,70,66,94,58,69,7,473,86.19999999999999,0.3272058823529411,1,88,148,1,1.0,10,0,156,
1000004,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,internet_facing,45,47,367,flat,0.25,3,0.7,connected,0,0,35,0.7446808510638298,35,10,35,21,1,1,65,73,69,65,118,65,69,7,524,94.52499999999999,0.353860294117647,1,104,143,1,1.0,12,0,170,
1000005,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,7,41,334,flat,0.25,24,0.7,connected,0,0,40,0.975609756097561,40,10,45,170,1,1,184,184,189,184,187,184,184,7,1296,245.225,0.9652267156862745,1,7,-1,0,0.0,13,0,192,
1000006,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,internet_facing,43,45,355,flat,0.25,24,0.7,connected,0,0,45,1.0,45,10,53,119,1,1,158,166,162,178,190,158,177,7,1189,221.40000000000003,0.8596813725490206,1,17,184,1,0.8571428571428571,14,0,192,
1000007,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,vendor_connection,57,58,433,flat,0.25,24,0.7,connected,0,0,56,0.9655172413793104,56,10,60,-1,1,1,190,190,190,190,190,190,187,7,1327,251.3,0.9895833333333334,1,8,-1,0,0.0,15,0,192,
1000008,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,9,42,330,flat,0.25,24,0.7,connected,0,0,3,0.07142857142857142,3,1,2,31,0,0,0,0,8,0,0,0,0,1,8,1.8,0.011029411764705883,0,8,37,1,1.0,0,1,37,
1000009,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,internet_facing,39,41,320,flat,0.25,24,0.7,connected,0,0,1,0.024390243902439025,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1.0,0,1,6,
1000010,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,19,50,369,flat,0.9,3,0.7,connected,0,0,2,0.04,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1.0,0,1,9,
1000011,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,internet_facing,49,51,376,flat,0.9,3,0.7,connected,0,0,4,0.0784313725490196,4,4,3,11,1,0,0,0,0,8,0,0,16,2,24,3.8,0.008578431372549019,0,48,16,1,1.0,2,0,33,
1000012,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,vendor_connection,59,60,431,flat,0.9,3,0.7,connected,0,0,1,0.016666666666666666,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1.0,0,1,6,
1000013,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,6,40,307,flat,0.9,3,0.7,connected,0,0,1,0.025,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1.0,0,1,7,
1000014,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,internet_facing,46,48,375,flat,0.9,3,0.7,connected,0,0,2,0.041666666666666664,2,2,1,5,1,0,0,0,0,0,0,0,9,1,9,1.3499999999999999,0.0,0,8,0,1,1.0,1,0,14,
1000015,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,17,45,349,flat,0.9,24,0.7,connected,0,0,2,0.044444444444444446,2,1,1,32,0,0,0,0,8,0,0,0,8,2,16,3.0,0.011029411764705883,0,64,22,1,1.0,0,1,50,
1000016,sweep,20260713,small_clinic,intermediate_capacity,baseline_flat,internet_facing,45,47,352,flat,0.9,24,0.7,connected,0,0,36,0.7659574468085106,36,10,35,187,1,1,165,153,144,168,154,116,165,7,1065,199.9,0.8189338235294117,1,40,-1,0,0.0,11,0,192,
