trial_id,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,total_compromised,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,portfolio_cost
5000000,backup,20260713,small_clinic,resource_constrained,backup_connected,workstation,13,44,344,flat,0.25,24,0.5,connected,0,0,41,0.9318181818181818,41,10,46,109,1,1,151,157,155,166,184,149,156,7,1118,208.4,0.8154105392156871,1,24,175,1,0.8571428571428571,13,0,192,
5000001,backup,20260713,small_clinic,resource_constrained,backup_connected,internet_facing,40,42,326,flat,0.25,24,0.5,connected,0,0,42,1.0,42,10,46,-1,1,1,191,191,191,191,191,191,189,7,1335,252.775,0.9947916666666666,1,0,-1,0,0.0,12,0,192,
5000002,backup,20260713,small_clinic,resource_constrained,backup_connected,privileged_system,46,51,381,flat,0.25,24,0.5,connected,0,0,49,0.9607843137254902,49,10,59,95,1,1,147,158,151,170,192,147,156,7,1121,207.74999999999997,0.8092830882352949,1,24,187,1,0.8571428571428571,15,0,192,
5000003,backup,20260713,small_clinic,resource_constrained,backup_connected,medical_device,45,57,409,flat,0.25,24,0.5,connected,0,0,53,0.9298245614035088,53,10,62,150,1,1,187,190,190,190,190,187,187,7,1321,249.875,0.9849877450980394,1,16,-1,0,0.2857142857142857,16,0,192,
5000004,backup,20260713,small_clinic,resource_constrained,backup_connected,vendor_connection,39,40,310,flat,0.25,24,0.5,connected,0,0,40,1.0,40,10,45,-1,1,1,187,189,189,190,187,183,191,7,1316,248.85000000000002,0.9823835784313726,1,8,-1,0,0.0,11,0,192,
5000005,backup,20260713,small_clinic,resource_constrained,backup_connected,workstation,2,55,403,flat,0.25,24,0.5,connected,0,0,55,1.0,55,10,60,148,1,1,187,187,187,187,187,187,192,7,1314,248.52500000000003,0.9739583333333334,1,0,-1,0,0.0,16,0,192,
5000006,backup,20260713,small_clinic,resource_constrained,backup_connected,internet_facing,38,40,306,flat,0.25,24,0.5,connected,0,0,40,1.0,40,10,48,168,1,1,189,191,191,188,192,183,190,7,1324,250.20000000000005,0.9885110294117648,1,0,-1,0,0.0,11,0,192,
5000007,backup,20260713,small_clinic,resource_constrained,backup_connected,privileged_system,43,52,387,flat,0.25,24,0.5,connected,0,0,49,0.9423076923076923,49,10,53,103,1,1,148,159,155,170,192,143,162,7,1129,209.10000000000002,0.8175551470588244,1,13,-1,0,0.14285714285714285,15,0,192,
5000008,backup,20260713,small_clinic,resource_constrained,backup_connected,medical_device,32,50,369,flat,0.25,24,0.5,connected,0,0,49,0.98,49,10,58,120,1,1,162,171,166,182,190,162,176,7,1209,225.75000000000003,0.8817401960784323,1,16,185,1,0.8571428571428571,14,0,192,
5000009,backup,20260713,small_clinic,resource_constrained,backup_connected,vendor_connection,52,53,392,flat,0.25,24,0.5,connected,0,0,52,0.9811320754716981,52,10,53,185,1,1,187,189,186,191,186,186,192,7,1317,249.075,0.9793198529411765,1,8,-1,0,0.0,15,0,192,
